source,url,date,identifier,organization,address1,address2,alternate_names,city,state,zip,phone,administrator,operator,type,general
manual,http://www.cdcr.ca.gov/Facilities_Locator/ASP.html,2015-10-23 15:32:00 ,ASP,Avenal State Prison,PO Box 9,,"ASP, Avenal",Avenal,CA,93204,559-386-0587x5025,California,California Department of Corrections and Rehabilitation,,x
manual,http://www.cdcr.ca.gov/Facilities_Locator/ASP.html,2015-10-23 15:32:00 ,ASP,Avenal State Prison,Facility A,PO Box 901,"ASP, Avenal",Avenal,CA,93204,559-386-0587x5025,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/ASP.html,2015-10-23 15:32:00 ,ASP,Avenal State Prison,Facility B,PO Box 902,"ASP, Avenal",Avenal,CA,93204,559-386-0587x5025,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/ASP.html,2015-10-23 15:32:00 ,ASP,Avenal State Prison,Facility C,PO Box 903,"ASP, Avenal",Avenal,CA,93204,559-386-0587x5025,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/ASP.html,2015-10-23 15:32:00 ,ASP,Avenal State Prison,Facility D,PO Box 904,"ASP, Avenal",Avenal,CA,93204,559-386-0587x5025,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/ASP.html,2015-10-23 15:32:00 ,ASP,Avenal State Prison,Facility E,PO Box 905,"ASP, Avenal",Avenal,CA,93204,559-386-0587x5025,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/ASP.html,2015-10-23 15:32:00 ,ASP,Avenal State Prison,Facility F,PO Box 906,"ASP, Avenal",Avenal,CA,93204,559-386-0587x5025,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CAC.html,2015-10-23 15:32:00 ,CAC,California City Correctional Facility,22844 Virginia Blvd,,"CAC, California City",California City,CA,93505,760-373-1764,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CAC.html,2015-10-23 15:32:00 ,CAC,California City Correctional Facility,Facility A,PO Box 2696,"CAC, California City",California City,CA,93504,760-373-1764,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CAC.html,2015-10-23 15:32:00 ,CAC,California City Correctional Facility,Facility B,PO Box 2610,"CAC, California City",California City,CA,93504,760-373-1764,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CAC.html,2015-10-23 15:32:00 ,CAC,California City Correctional Facility,Facility C,PO Box 2760,"CAC, California City",California City,CA,93504,760-373-1764,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CCC.html,2015-10-23 15:32:00 ,CCC,California Correctional Center,A Facility,PO Box 2500,"CCC, Susanville",Susanville,CA,96127,530-257-2181,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CCC.html,2015-10-23 15:32:00 ,CCC,California Correctional Center,B Facility,PO Box 2210,"CCC, Susanville",Susanville,CA,96127,530-257-2181,California,California Department of Corrections and Rehabilitation,,
